"","county","year","population","employment","income","rent","housevalue","price_to_rent","metro","employment_rate","mean_income"
"147","Lake","2015",703413,462819,50466332,1771.58333333333,221058.333333333,10.0333333333333,1,0.65796196544562,71.7449521120594
"148","Livingston","2015",36749,18765,1454867,1151,83058.3333333333,NA,0,0.510626139486789,39.5892949468013
"149","Macon","2015",107377,62865,4736270,974.083333333333,80441.6666666667,5.56833333333333,1,0.585460573493392,44.1087942483027
"150","McDonough","2015",31342,16664,1067041,NA,78133.3333333333,NA,0,0.531682726054496,34.0450832748389
"151","McHenry","2015",307188,138864,15089052,1601.25,184708.333333333,9.41916666666667,1,0.452048908160475,49.1199265596312
"152","McLean","2015",172673,112563,7758468,NA,140833.333333333,9.42416666666667,1,0.651885355556456,44.931564286252
"153","Morgan","2015",34605,19169,1266538,NA,80783.3333333333,6.055,0,0.553937292298801,36.5998555122092
"154","Peoria","2015",186315,123512,8820959,945.916666666667,99141.6666666667,8.42666666666667,1,0.662920323108714,47.34433083756
"155","Rock Island","2015",NA,89771,5992696,847.333333333333,98683.3333333333,9.20166666666667,1,NA,NA
"156","Sangamon","2015",198496,126400,8711515,NA,117508.333333333,9.14666666666667,1,0.63678865065291,43.8876098258907
"157","Stephenson","2015",45791,23863,1774949,NA,84991.6666666667,11.1866666666667,0,0.521128606057959,38.7619619575899
"158","Tazewell","2015",134735,71817,5839774,NA,119116.666666667,8.95166666666667,1,0.533024084313653,43.3426652317512
"159","Warren","2015",17507,8707,624893,960.416666666667,68616.6666666667,NA,0,0.497343919575027,35.693893871023
"160","Whiteside","2015",56963,28242,2243714,1127.66666666667,78283.3333333333,5.4625,0,0.495795516387831,39.3889717887049
"161","Will","2015",686687,310236,32279931,1679.91666666667,183941.666666667,9.18583333333333,1,0.45178662185246,47.0082162615573
"162","Williamson","2015",67589,36830,2728373,1121.33333333333,88466.6666666667,6.9475,1,0.544911154181894,40.3671159508204
"163","Winnebago","2015",287168,164176,11284233,993.083333333333,87483.3333333333,7.08333333333333,1,0.571707154000446,39.2948831346111
"164","Woodford","2015",39158,16094,1874358,1266.08333333333,144866.666666667,8.995,1,0.411001583329077,47.8665406813423
"165","Adams","2016",66578,42446,2810914,1191.91666666667,106816.666666667,NA,0,0.637537925440836,42.2198624170146
"166","Boone","2016",53503,23208,2253951,1371.5,142966.666666667,8.6075,1,0.433770068968095,42.1275629403959
"167","Champaign","2016",208419,127014,8926464,1104.25,132908.333333333,9.96583333333333,1,0.609416607890835,42.829415744246
"168","Christian","2016",33309,14898,1261475,NA,72825,5.93583333333333,NA,0.44726650454832,37.8718964844336
"169","Clark","2016",15938,7946,606483,NA,72650,4.575,0,0.498556908018572,38.0526414857573
"170","Clay","2016",13300,7862,471764,NA,79191.6666666667,NA,0,0.591127819548872,35.470977443609
"171","Coles","2016",52343,31883,1903948,1238.5,79091.6666666667,5.76833333333333,0,0.609116787345013,36.3744531264926
"172","Cook","2016",5203499,3513899,294875826,1660.41666666667,200975,10.0958333333333,1,0.675295411798868,56.6687580798997
"173","DeKalb","2016",104528,53517,3842626,1312.33333333333,150066.666666667,9.3525,NA,0.51198721873565,36.761690647482
"174","Dewitt","2016",NA,NA,NA,NA,81891.6666666667,6.16916666666667,NA,NA,NA
"175","Du Page","2016",NA,NA,NA,1883.83333333333,266291.666666667,11.5591666666667,NA,NA,NA
"176","Effingham","2016",34386,27719,1523708,NA,122875,8.49416666666667,0,0.806112952945966,44.3118711103356
"177","Ford","2016",13575,6803,669842,1160.75,75058.3333333333,5.64166666666667,1,0.501141804788214,49.3437937384899
"178","Gallatin","2016",5212,2202,223612,NA,64000,NA,0,0.422486569455104,42.903300076746
"179","Grundy","2016",50437,24953,2421170,1348.41666666667,173183.333333333,10.3991666666667,1,0.494736007296231,48.0038463826159
"180","Henry","2016",49280,20999,2110100,1159.58333333333,109308.333333333,7.91083333333333,1,0.426116071428571,42.8185876623377
"181","Iroquois","2016",28334,13110,1184622,1345.66666666667,92783.3333333333,NA,0,0.462694995411873,41.8092044893061
"182","Jackson","2016",58870,35908,2008935,NA,86400,NA,1,0.609954136232376,34.1249363003227
"183","Kane","2016",531715,270945,24566385,1686.83333333333,204175,9.90083333333333,1,0.50956809569036,46.2021665741986
"184","Kankakee","2016",110008,55497,4199107,1133.33333333333,117700,8.71416666666667,1,0.504481492255109,38.1709239328049
"185","Kendall","2016",124695,40989,5555452,1798.58333333333,213091.666666667,9.54833333333333,1,0.328714062312041,44.5523236697542
